# Sensor	BV	TR	Qc
K2_1	200	40.4	6.138
K2_1	250	36.98	9.564
K2_1	275	36.15	12.692
K2_1	300	34.22	17.843
K2_1	310	32.01	21.043
K2_1	320	30.06	25.49

K2_2	200	40.4	5.867
K2_2	250	36.98	8.937
K2_2	275	36.15	11.757
K2_2	300	34.22	16.126
K2_2	310	32.01	19.22
K2_2	320	30.06	22.78

K1_100	450	24.67	2.44
K1_100	500	65.27	2.415
K1_100	525	38.637	2.857
K1_100	550	38.44	2.441
K1_100	610	128.28	2.706

K1_50	450	41.28	3.893
K1_50	500	41.66	4.366
K1_50	525	41.19	4.594
K1_50	550	36.19	4.941
K1_50	590	33.29	6.243

HPK_1	120	50.127	8.060
HPK_1	140	41.953	11.751
HPK_1	160	37.589	14.5
HPK_1	180	29.673	19.943
HPK_1	190	29.438	24.326
HPK_1	200	30.923	30.261

HPK_2	120	50.127	10.042
HPK_2	140	41.953	11.951
HPK_2	160	37.589	16.153
HPK_2	180	29.673	22.83
HPK_2	190	29.438	26.943
HPK_2	200	30.923	36.623

HPK_3	120	50.127	9.902
HPK_3	140	41.953	10.884
HPK_3	160	37.589	14.47
HPK_3	180	29.673	20.301
HPK_3	190	29.438	23.509
HPK_3	200	30.923	29.668
