#pmax_fit   Bias Voltage   Qcollection
10                450               3.388
10                500               4.163
10                525               4.219
10                550               4.702
10                590               5.860
15                450               3.499
15                500               4.174 
15                525               4.231  
15                550               4.702
15                590               5.860
18                450               3.778
18                500               4.210
18                525               4.249  
18                550               4.702
18                590               5.860
20                450               3.987
20                500               4.261 
20                525               4.302  
20                550               4.702
20                590               5.860
